client_id,Premium Status,Category,Sub-Category,Total Past Transactions,Total Past Spending (€),Total Past Products Purchased,action_universe,action_category_label,action_label,client_is_present,client_is_invited,gross_spend_next_30_days_in_category,most_purchased_product_category,days_since_last_transactions,T
c06363783,0,2,2.0,0.0,0.0,0.0,Men's Fashion,Client,Business Engagement,1,1,0.0,Other,5000.0,1
c38412787,0,2,2.0,0.0,0.0,0.0,Men's Fashion,Client,Business Engagement,1,1,0.0,Other,5000.0,1
c61328105,0,2,1.0,2.0,700.0,2.0,Men's Fashion,Client,Business Engagement,0,0,0.0,Women's Fashion,424.0,1
c17037470,0,3,1.0,0.0,0.0,0.0,Men's Fashion,Client,Business Engagement,0,0,0.0,Other,5000.0,1
c02495966,0,3,0.0,0.0,0.0,0.0,Women's Fashion,Client,Business Engagement,1,1,0.0,Other,5000.0,0
c05114849,0,3,1.0,0.0,0.0,0.0,Women's Fashion,Client,Business Engagement,1,1,0.0,Other,5000.0,0
c07043913,1,1,2.0,24.0,103048.0,24.0,Women's Fashion,Client,Business Engagement,1,1,0.0,Men's Fashion,34.0,0
c07488650,0,2,2.0,0.0,0.0,0.0,Women's Fashion,Client,Business Engagement,1,1,6022.0,Other,5000.0,0
c11423507,0,2,0.0,8.0,55960.0,8.0,Women's Fashion,Client,Business Engagement,1,1,0.0,Women's Fashion,29.0,0
c17221610,1,0,1.0,0.0,0.0,0.0,Women's Fashion,Client,Business Engagement,1,1,0.0,Other,5000.0,0
c17376286,0,0,1.0,0.0,0.0,0.0,Women's Fashion,Client,Business Engagement,1,1,2796.0,Other,5000.0,0
c17974679,0,2,2.0,0.0,0.0,0.0,Women's Fashion,Client,Business Engagement,1,1,0.0,Other,5000.0,0
c18695149,0,0,1.0,8.0,64736.0,8.0,Women's Fashion,Client,Business Engagement,1,1,3974.0,Women's Fashion,378.0,0
c19950018,0,2,2.0,16.0,16944.0,16.0,Women's Fashion,Client,Business Engagement,1,1,0.0,Other,41.0,0
c20368236,0,3,1.0,0.0,0.0,0.0,Women's Fashion,Client,Business Engagement,1,1,0.0,Other,5000.0,0
c20659258,0,0,2.0,0.0,0.0,0.0,Women's Fashion,Client,Business Engagement,1,1,0.0,Other,5000.0,0
c20842546,0,0,1.0,0.0,0.0,0.0,Women's Fashion,Client,Business Engagement,1,1,2948.0,Other,5000.0,0
c21421786,0,0,2.0,112.0,342856.0,112.0,Women's Fashion,Client,Business Engagement,1,1,25810.0,Women's Fashion,5.0,0
c29183148,0,0,1.0,8.0,12200.0,8.0,Women's Fashion,Client,Business Engagement,1,1,0.0,Women's Fashion,27.0,0
c30225611,0,2,2.0,0.0,0.0,0.0,Women's Fashion,Client,Business Engagement,1,1,0.0,Other,5000.0,0
c31262261,0,0,1.0,16.0,21544.0,16.0,Women's Fashion,Client,Business Engagement,1,1,18296.0,Other,52.0,0
c31999343,0,2,1.0,8.0,61816.0,8.0,Women's Fashion,Client,Business Engagement,1,1,0.0,Women's Fashion,26.0,0
c32765056,0,0,1.0,24.0,125040.0,24.0,Women's Fashion,Client,Business Engagement,1,1,0.0,Women's Fashion,2.0,0
c34824778,0,0,1.0,8.0,81992.0,8.0,Women's Fashion,Client,Business Engagement,1,1,5008.0,Women's Fashion,31.0,0
c35239845,0,2,2.0,16.0,65480.0,16.0,Women's Fashion,Client,Business Engagement,1,1,50075.0,Women's Fashion,59.0,0
c37298229,0,2,2.0,48.0,98744.0,48.0,Women's Fashion,Client,Business Engagement,1,1,0.0,Women's Fashion,26.0,0
c42702494,0,2,0.0,16.0,17424.0,16.0,Women's Fashion,Client,Business Engagement,1,1,8617.0,Women's Fashion,42.0,0
c42753485,0,2,2.0,0.0,0.0,0.0,Women's Fashion,Client,Business Engagement,1,1,23457.0,Other,5000.0,0
c44511172,0,0,1.0,24.0,21448.0,24.0,Women's Fashion,Client,Business Engagement,1,1,430.0,Women's Fashion,47.0,0
c44700002,0,0,1.0,0.0,0.0,0.0,Women's Fashion,Client,Business Engagement,1,1,0.0,Other,5000.0,0
c51410369,1,0,2.0,32.0,218256.0,32.0,Women's Fashion,Client,Business Engagement,1,1,11842.0,Other,16.0,0
c52702394,0,0,1.0,48.0,233216.0,48.0,Women's Fashion,Client,Business Engagement,1,1,7378.0,Timepieces and Jewelry,11.0,0
c53108399,0,3,1.0,0.0,0.0,0.0,Women's Fashion,Client,Business Engagement,1,1,0.0,Other,5000.0,0
c53305968,0,0,1.0,16.0,121168.0,16.0,Women's Fashion,Client,Business Engagement,1,1,13301.0,Women's Fashion,17.0,0
c58307020,1,2,1.0,0.0,0.0,0.0,Women's Fashion,Client,Business Engagement,1,1,0.0,Other,5000.0,0
c58323191,0,3,0.0,0.0,0.0,0.0,Women's Fashion,Client,Business Engagement,1,1,0.0,Other,5000.0,0
c58324761,0,0,1.0,0.0,0.0,0.0,Women's Fashion,Client,Business Engagement,1,1,9904.0,Other,5000.0,0
c61575131,0,0,2.0,0.0,0.0,0.0,Women's Fashion,Client,Business Engagement,1,1,24728.0,Other,5000.0,0
c63694719,0,1,0.0,0.0,0.0,0.0,Women's Fashion,Client,Business Engagement,1,1,0.0,Other,5000.0,0
c68954775,0,3,0.0,0.0,0.0,0.0,Women's Fashion,Client,Business Engagement,1,1,0.0,Other,5000.0,0
